Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
1412,124.0864785
1413,123.7656459
1414,123.4727969
1415,123.1980556
1416,122.9355154
1417,122.6825996
1418,122.4408414
1419,122.2117723
1420,121.9935401
1421,121.783279
1422,121.5746294
1423,121.3679123
1424,121.1651615
1425,120.9662675
1426,120.7634174
1427,120.5597108
1428,120.3601459
1429,120.1698875
1430,119.9889392
1431,119.8127041
1432,119.6358435
1433,119.4654616
1434,119.2968217
1435,119.1173896
1436,118.9184698
1437,118.714204
1438,118.513749
1439,118.32428
1440,118.1519605
1441,118.0035829
1442,117.8802326
1443,117.780034
1444,117.6940716
1445,117.6109541
1446,117.5255357
1447,117.4347428
1448,117.3337477
1449,117.2139172
1450,117.0661001
1451,116.8850288
1452,116.6798179
1453,116.4623033
1454,116.2441701
1455,116.0314896
1456,115.8341028
1457,115.6588576
1458,115.5094591
1459,115.376054
1460,115.2532141
1461,115.1402815
1462,115.0422057
1463,114.9626374
1464,114.8880763
1465,114.8038694
1466,114.7065026
1467,114.6027484
1468,114.4874606
1469,114.3550202
1470,114.2030053
1471,114.0355344
1472,113.8600056
1473,113.6835961
1474,113.5071253
1475,113.3351725
1476,113.1718713
1477,113.0139451
1478,112.8554929
1479,112.6933136
1480,112.5240328
1481,112.344739
1482,112.1568659
1483,111.9633733
1484,111.7669867
1485,111.5714904
1486,111.3820408
1487,111.1999757
1488,111.0235618
1489,110.8498392
1490,110.6793316
1491,110.5128959
1492,110.3507497
1493,110.1931221
1494,110.0407131
1495,109.8943821
1496,109.7546787
1497,109.6189979
1498,109.4838935
1499,109.3477915
1500,109.207599
1501,109.0570628
1502,108.8948439
1503,108.7258579
1504,108.5550047
1505,108.3852147
1506,108.2180111
1507,108.0503326
1508,107.8845617
1509,107.7237901
1510,107.5689252
1511,107.415148
1512,107.2588768
1513,107.0968475
1514,106.929415
1515,106.7563963
1516,106.5768769
1517,106.3920383
1518,106.2045824
1519,106.0199515
1520,105.8435146
1521,105.6781429
1522,105.5209567
1523,105.3707967
1524,105.2264668
1525,105.0854792
1526,104.9447999
1527,104.8015817
1528,104.6539376
1529,104.5005134
1530,104.3357879
1531,104.1558028
1532,103.966261
1533,103.7770082
1534,103.5965414
1535,103.4332917
1536,103.2913685
1537,103.1670619
1538,103.054513
1539,102.9470548
1540,102.8348517
1541,102.7112445
1542,102.5763933
1543,102.4349018
1544,102.2866419
1545,102.1283915
1546,101.9579683
1547,101.7810172
1548,101.6063407
1549,101.442804
1550,101.297921
1551,101.1732846
1552,101.0630105
1553,100.9592847
1554,100.8555243
1555,100.7448821
1556,100.6212585
1557,100.4829911
1558,100.329813
1559,100.1673104
1560,100.0014686
1561,99.83628673
1562,99.67288693
1563,99.51354182
1564,99.36080056
1565,99.22256094
1566,99.09880113
1567,98.97978962
1568,98.85431737
1569,98.71745213
1570,98.56758734
1571,98.40570484
1572,98.23625733
1573,98.06698186
1574,97.90940645
1575,97.77559584
1576,97.67257726
1577,97.58667013
1578,97.50053354
1579,97.40220575
1580,97.28575967
1581,97.1427931
1582,96.9778237
1583,96.79857571
1584,96.6196766
1585,96.45774761
1586,96.32143576
1587,96.19730391
1588,96.07704051
1589,95.95290405
1590,95.81230863
1591,95.64446526
1592,95.46002093
1593,95.27506652
1594,95.10725197
1595,94.9705589
1596,94.87265659
1597,94.80161441
1598,94.74024191
1599,94.66480054
1600,94.5521089
1601,94.3911994
1602,94.19205472
1603,93.9685087
1604,93.73451278
1605,93.50580238
1606,93.29588493
1607,93.10357417
1608,92.92025105
1609,92.74069706
1610,92.56321552
1611,92.38580202
1612,92.20583459
1613,92.02913717
1614,91.86223772
1615,91.71049891
1616,91.57192647
1617,91.43667138
1618,91.29465532
1619,91.14387016
1620,90.97128151
1621,90.7640438
1622,90.52643982
1623,90.27638648
1624,90.03108836
1625,89.80724204
1626,89.60870642
1627,89.42874685
1628,89.26119777
1629,89.09726937
1630,88.91754895
1631,88.70760242
1632,88.4720017
1633,88.22318439
1634,87.97437741
1635,87.73719342
1636,87.52019655
1637,87.32011046
1638,87.13144323
1639,86.94870178
1640,86.76697835
1641,86.5806658
1642,86.38942548
1643,86.19554807
1644,86.00736612
1645,85.8261255
1646,85.6485601
1647,85.46390494
1648,85.26584834
1649,85.04942553
1650,84.8089725
1651,84.53729304
1652,84.2450898
1653,83.94875677
1654,83.66507428
1655,83.40774478
1656,83.18200118
1657,82.97451988
1658,82.77360985
1659,82.56442481
1660,82.32900037
1661,82.05439879
1662,81.74936168
1663,81.42793118
1664,81.10405305
1665,80.78576881
1666,80.48263448
1667,80.19512397
1668,79.91744186
1669,79.63469431
1670,79.33933734
1671,79.02832767
1672,78.70731742
1673,78.38618215
1674,78.07994545
1675,77.80318494
1676,77.56214475
1677,77.34948801
1678,77.15515845
1679,76.97277181
1680,76.79431548
1681,76.60938654
1682,76.41613524
1683,76.22035452
1684,76.02826361
1685,75.84562036
1686,75.67641418
1687,75.51871599
1688,75.36932708
1689,75.22559895
1690,75.08804496
1691,74.94921681
1692,74.80103458
1693,74.638686
1694,74.46410537
1695,74.27820267
1696,74.08118284
1697,73.86792934
1698,73.63857515
1699,73.39505975
1700,73.13774904
1701,72.86493773
1702,72.5870153
1703,72.3177472
1704,72.07569055
1705,71.87222716
1706,71.7118483
1707,71.58531293
1708,71.48452191
1709,71.39299868
1710,71.29462768
1711,71.18043837
1712,71.05542942
1713,70.92682025
1714,70.80030814
1715,70.6802753
1716,70.5727514
1717,70.47804235
1718,70.39236325
1719,70.31168464
1720,70.23271401
1721,70.1525866
1722,70.07327486
1723,69.99946848
1724,69.93566701
1725,69.88452732
1726,69.84782582
1727,69.82267187
1728,69.80595523
1729,69.79319959
1730,69.77641599
1731,69.74865084
1732,69.71128921
1733,69.67183374
1734,69.63845233
1735,69.61553962
1736,69.60355543
1737,69.6070137
1738,69.62880663
1739,69.66459211
1740,69.71010069
1741,69.76241011
1742,69.82073655
1743,69.88360362
1744,69.94673101
1745,70.0058813
1746,70.06006295
1747,70.10762344
1748,70.14630966
1749,70.17170743
1750,70.18137576
1751,70.17945488
1752,70.17371726
1753,70.16631034
1754,70.16045526
1755,70.15986971
1756,70.16765483
1757,70.18025922
1758,70.19116897
1759,70.19474164
1760,70.18779944
1761,70.16444927
1762,70.12541274
1763,70.07717913
1764,70.02594217
1765,69.97569492
1766,69.9285309
1767,69.88082663
1768,69.82839641
1769,69.76710604
1770,69.6896457
1771,69.59282967
1772,69.48492062
1773,69.3751651
1774,69.26879789
1775,69.17069583
1776,69.08393017
1777,69.00550145
1778,68.92819788
1779,68.84345844
1780,68.74299947
1781,68.62342133
1782,68.49021913
1783,68.35085606
1784,68.20980289
1785,68.07295865
1786,67.94591509
1787,67.83017856
1788,67.72387
1789,67.62314662
1790,67.52408434
1791,67.42504081
1792,67.32733165
1793,67.2321905
1794,67.1392797
1795,67.0444713
1796,66.94432818
1797,66.84106953
1798,66.74103653
1799,66.63763907
1800,66.5232809
1801,66.3966895
1802,66.26687888
1803,66.14408595
1804,66.03334329
1805,65.93073351
1806,65.843173
1807,65.77478338
1808,65.7237309
1809,65.67902891
1810,65.62911519
1811,65.56602909
1812,65.49609135
1813,65.42889011
1814,65.37471478
1815,65.34031478
1816,65.31528738
1817,65.28110156
1818,65.23415291
1819,65.16981351
1820,65.07395516
1821,64.93240833
1822,64.75162109
1823,64.56373137
1824,64.4013285
1825,64.27178096
1826,64.1756833
1827,64.11030774
1828,64.07036459
1829,64.04809908
1830,64.03267091
1831,64.01655873
1832,64.00869487
1833,64.00183407
1834,63.98452758
1835,63.96734334
1836,63.94956597
1837,63.89631601
1838,63.77582146
1839,63.5907117
1840,63.35793903
1841,63.09440409
1842,62.79063786
1843,62.46920821
